414759.2188 	 4501456.5000 	 -4.9000 
414608.8438 	 4501617.0000 	 -3.8000 
415288.0313 	 4500558.0000 	 -4.9000 
414785.3125 	 4499943.0000 	 -4.9000 
414959.4063 	 4500177.5000 	 -4.8000 
414707.5938 	 4500201.0000 	 -5.0000 
414522.0000 	 4499451.0000 	 -8.0000 
414910.3438 	 4499445.0000 	 -5.2000 
414713.7500 	 4499698.5000 	 -5.5000 
414100.5000 	 4498197.0000 	 -6.7000 
414101.7500 	 4497704.5000 	 -6.9000 
414620.3125 	 4493700.5000 	 -8.0000 
415459.5938 	 4493452.0000 	 -7.7000 
414631.9688 	 4494947.0000 	 -7.6000 
415102.0000 	 4493703.5000 	 -7.9000 
414123.6250 	 4493954.5000 	 -8.0000 
414493.0625 	 4493448.0000 	 -8.0000 
414239.4375 	 4493199.0000 	 -8.0000 
414446.3438 	 4491448.5000 	 -8.3000 
417336.4063 	 4490199.5000 	 -6.3000 
416733.1563 	 4490196.0000 	 -7.6000 
417139.0938 	 4492948.0000 	 -7.4000 
416377.1875 	 4492950.5000 	 -7.5000 
416770.3125 	 4492949.5000 	 -7.2000 
415529.0625 	 4492473.0000 	 -8.2000 
415722.2500 	 4492699.5000 	 -7.9000 
416195.3125 	 4492697.0000 	 -7.5000 
415932.0313 	 4492949.0000 	 -7.6000 
414751.7500 	 4492704.0000 	 -8.5000 
414272.6250 	 4492700.0000 	 -8.4000 
415372.1563 	 4492199.0000 	 -8.0000 
415016.4063 	 4492456.0000 	 -8.2000 
415230.3750 	 4492692.5000 	 -8.1000 
414560.9688 	 4492954.0000 	 -8.2000 
415410.5625 	 4492951.5000 	 -8.0000 
415051.4688 	 4492953.0000 	 -8.0000 
414722.3125 	 4493208.0000 	 -8.0000 
415206.6250 	 4493201.5000 	 -7.9000 
415691.8438 	 4493199.0000 	 -7.7000 
416075.9063 	 4493699.5000 	 -7.4000 
416920.0000 	 4493695.5000 	 -7.0000 
416548.5000 	 4493699.5000 	 -7.0000 
415701.3125 	 4495201.0000 	 -7.0000 
416718.6563 	 4495453.0000 	 -6.7000 
416490.5938 	 4495697.5000 	 -6.6000 
417293.6563 	 4496194.5000 	 -5.9000 
415779.5000 	 4496204.5000 	 -6.8000 
418999.2813 	 4495955.0000 	 -5.4000 
418641.1563 	 4495950.0000 	 -5.3000 
418132.6250 	 4496445.0000 	 -5.2000 
418198.7188 	 4495953.0000 	 -5.3000 
418142.9063 	 4496201.5000 	 -5.3000 
415738.6250 	 4497198.0000 	 -6.4000 
417745.7813 	 4497687.0000 	 -4.7000 
415194.4063 	 4498204.0000 	 -5.8000 
414960.5000 	 4497950.0000 	 -6.2000 
417438.4063 	 4499199.0000 	 -8.0000 
417711.8438 	 4499201.5000 	 -8.2000 
415483.9375 	 4494948.5000 	 -7.6000 
415757.6250 	 4496701.5000 	 -6.6000 
416725.4375 	 4496700.5000 	 -6.0000 
414631.5313 	 4495951.0000 	 -7.1000 
415118.2500 	 4495946.5000 	 -6.8000 
414716.3438 	 4494697.5000 	 -7.6000 
415078.4688 	 4494698.5000 	 -7.6000 
414351.0938 	 4494696.0000 	 -7.7000 
415291.8750 	 4495198.0000 	 -7.4000 
414665.2188 	 4495450.5000 	 -7.4000 
415569.4375 	 4489705.5000 	 -8.0000 
416221.8750 	 4489711.5000 	 -7.6000 
